id,question_text,unit_of_measurement,max_length,answer_is_numeric,question_step,MIN,MAX
1,Numele instituției,,0,NULL,0,Institutie,
2,Este instituţie subordonată,,0,NULL,0,Nu stiu,
3,Numele instituției titular,,0,NULL,0,Titular,
4,Adresă instituţie,,0,NULL,0,Adresa,
5,Adresa de e-mail a instituţiei şi a persoanei responsabile cu implementarea  strategiei la nivelul instituţiei,,0,NULL,0,mail@mail.com,
6,Telefon instituţie,,0,NULL,0,256123123,
7,Numărul de angajaţi ai instituţiei,,0,1,0,5,50
8,Categoriile profesionale ale angajaților,,0,NULL,0,Categorii profesionale,
9,Acte normative care reglementează activităţile instituţiei,,0,NULL,0,"Multe acte normative nom, nom",
10,Care este numărul de sesizări privind încălcările normelor?,,0,1,1,2,50
11,Care este numărul de sesizări în curs de soluţionare?,,0,1,1,2,50
12,Care este numărul de sesizări soluţionate?,,0,1,1,2,50
13,Care este durata procedurilor?,luni,0,1,1,2,200
14,Care este numărul de decizii prin care s-a confirmat încălcarea normei?,,0,1,1,2,50
15,Care este numărul de măsuri dispuse?,,0,1,1,2,10
16,"Prezentați, pe scurt, tipurile măsurilor dispuse",,0,NULL,1,"Lorem ipsum dolor sit amet, mel ad libris impetus, invenire rationibus ex vis, eu enim insolens elaboraret nec. No per insolens eleifend cotidieque. ",
17,Care este numărul de decizii ale comisiei anulate sau modificate în instanţă?,,0,1,1,2,10
18,Gradul de cunoaştere de către angajaţi a normelor,%,0,1,1,0,100
19,Care este numărul de activităţi de formare privind normele de conduită?,,0,1,1,2,20
20,Care este numărul de persoane care au fost instruite prin intermediul acţiunilor de formare  profesională?,,0,1,1,5,50
21,Care este numărul de măsuri administrative adoptate pentru înlăturarea cauzelor sau  circumstanţelor care au favorizat încălcarea normelor?,,0,1,1,2,10
22,Care este numărul persoane per instituţie care au săvârşit abateri disciplinare?,,0,1,1,5,50
23,Care este numărul de persoane care au săvârşit în mod repetat abateri de la normele  respective?,,0,1,1,5,50
24,Care este numărul de persoane care au obligaţia depunerii declaraţiei de avere? ,,0,1,2,5,50
25,Care este numărul de persoane care nu au depus în termen declaraţii de avere? ,,0,1,2,5,50
26,Care este numărul de persoane care nu au depus declaraţii de avere?,,0,1,2,5,50
27,Care este numărul de sesizări ale ANI? ,,0,1,2,5,50
28,Care este numărul de decizii ANI ca urmare a sesizărilor transmise de instituţie? ,,0,1,2,2,10
29,Care este numărul de decizii ale ANI puse în aplicare? ,,0,1,2,2,10
30,Care este numărul de hotărâri ale instanţelor de judecată ca urmare a sesizărilor ANI?,,0,1,2,2,10
31,Care este numărul de măsuri administrative adoptate pentru înlăturarea cauzelor sau circumstanţelor care au favorizat încălcarea normelor privind declararea averilor? ,,0,1,2,2,10
32,Care este numărul de consultaţii oferite de persoanele responsabile pentru implementarea prevederilor legale privind declaraţiile de avere şi declaraţiile de interese ? ,,0,1,2,2,10
33,Care este gradul de cunoaştere de către angajaţi a normelor privind declararea averilor? ,%,0,1,2,0,100
34,Care este numărul de activităţi de formare privind declaraţiile de avere? ,,0,1,2,2,10
35,Care este numărul de persoane care au fost instruite prin intermediul acţiunilor de formare profesională? ,,0,1,2,5,50
36,Care este numărul de cadouri primite şi înregistrate în registru? ,,0,1,3,0,50
37,Care este valoarea fiecărui cadou primit? ,Lei,0,1,3,2,1000
38,Este publicat anual inventarul pe site-ul instituţiei? ,,0,NULL,3,Da,
39,Care este numărul de situaţii în care s-a achiziţionat cadoul? ,,0,1,3,2,10
40,Care este valoarea cadourilor achiziţionate? ,Lei,0,1,3,2,10000
41,Care este valoarea totală a cadourilor primite? ,Lei,0,1,3,2,10000
42,Care este valoarea bunurilor valorificate? ,Lei,0,1,3,2,100000
43,Care este numărul de declaraţii de abţinere? ,,0,1,4,2,100
44,Care este numărul de situaţii în care superiorul ierarhic a dispus înlocuirea persoanei aflată în situaţia de potenţial conflict de interese? ,,0,1,4,2,10
45,Care este numărul de sesizări primite de instituţie de la terţe persoane cu privire la existenţa unui conflict de interese? ,,0,1,4,2,100
46,Care este numărul de decizii ANI prin care s-a constatat starea de conflict de interese?,,0,1,4,2,15
47,Care este numărul de sesizări ale parchetului privind posibila săvârşire a infracţiunii de conflicte de interese? ,,0,1,4,2,20
48,Care este numărul de rechizitorii privind săvârşirea infracţiunii de conflicte de interese?,,0,1,4,2,20
49,Care este numărul de condamnări privind săvârşirea infracţiunii de conflicte de interese?,,0,1,4,2,20
50,Care este gradul de cunoaştere de către angajaţi a normelor privind conflictul de interese?,%,0,1,4,0,100
